Age,Indicator,County,Value
ADULTS (15-49),Overall Prevalence,Kenya,0.048
ADULTS (15-49),Overall Prevalence,Nairobi,0.061
ADULTS (15-49),Overall Prevalence,Mombasa,0.041
ADULTS (15-49),Overall Prevalence,Kwale,0.038
ADULTS (15-49),Overall Prevalence,Kilifi,0.038
ADULTS (15-49),Overall Prevalence,Lamu,0.03
ADULTS (15-49),Overall Prevalence,Taita Taveta,0.041
ADULTS (15-49),Overall Prevalence,Tana River,0.013
ADULTS (15-49),Overall Prevalence,Garissa,0.008
ADULTS (15-49),Overall Prevalence,Mandera,0.002
ADULTS (15-49),Overall Prevalence,Wajir,0.001
ADULTS (15-49),Overall Prevalence,Embu,0.028
ADULTS (15-49),Overall Prevalence,Marsabit,0.014
ADULTS (15-49),Overall Prevalence,Meru,0.024
ADULTS (15-49),Overall Prevalence,Isiolo,0.032
ADULTS (15-49),Overall Prevalence,Makueni,0.042
ADULTS (15-49),Overall Prevalence,Kitui,0.045
ADULTS (15-49),Overall Prevalence,Machakos,0.038
ADULTS (15-49),Overall Prevalence,Tharaka Nithi,0.032
ADULTS (15-49),Overall Prevalence,Nyeri,0.037
ADULTS (15-49),Overall Prevalence,Nyandarua,0.035
ADULTS (15-49),Overall Prevalence,Kiambu,0.04
ADULTS (15-49),Overall Prevalence,Murang’a,0.042
ADULTS (15-49),Overall Prevalence,Kirinyaga,0.031
ADULTS (15-49),Overall Prevalence,West Pokot,0.016
ADULTS (15-49),Overall Prevalence,Turkana,0.032
ADULTS (15-49),Overall Prevalence,Trans Nzoia,0.043
ADULTS (15-49),Overall Prevalence,Narok,0.027
ADULTS (15-49),Overall Prevalence,Nandi,0.02
ADULTS (15-49),Overall Prevalence,Nakuru,0.034
ADULTS (15-49),Overall Prevalence,Elgeyo Marakwet,0.016
ADULTS (15-49),Overall Prevalence,Laikipia,0.027
ADULTS (15-49),Overall Prevalence,Kericho,0.029
ADULTS (15-49),Overall Prevalence,Kajiado,0.039
ADULTS (15-49),Overall Prevalence,Bomet,0.019
ADULTS (15-49),Overall Prevalence,Baringo,0.013
ADULTS (15-49),Overall Prevalence,Samburu,0.018
ADULTS (15-49),Overall Prevalence,Uasin Gishu,0.039
ADULTS (15-49),Overall Prevalence,Bungoma,0.032
ADULTS (15-49),Overall Prevalence,Kakamega,0.045
ADULTS (15-49),Overall Prevalence,Busia,0.077
ADULTS (15-49),Overall Prevalence,Vihiga,0.054
ADULTS (15-49),Overall Prevalence,Siaya,0.21
ADULTS (15-49),Overall Prevalence,Kisii,0.044
ADULTS (15-49),Overall Prevalence,Migori,0.133
ADULTS (15-49),Overall Prevalence,Kisumu,0.163
ADULTS (15-49),Overall Prevalence,Homa Bay,0.207
ADULTS (15-49),Overall Prevalence,Nyamira,0.042
ADULTS (15-49),Male Prevalence,Kenya,0.045
ADULTS (15-49),Male Prevalence,Nairobi,0.047
ADULTS (15-49),Male Prevalence,Mombasa,0.025
ADULTS (15-49),Male Prevalence,Kwale,0.023
ADULTS (15-49),Male Prevalence,Kilifi,0.023
ADULTS (15-49),Male Prevalence,Lamu,0.018
ADULTS (15-49),Male Prevalence,Taita Taveta,0.025
ADULTS (15-49),Male Prevalence,Tana River,0.008
ADULTS (15-49),Male Prevalence,Garissa,0.003
ADULTS (15-49),Male Prevalence,Mandera,0.001
ADULTS (15-49),Male Prevalence,Wajir,0.0003
ADULTS (15-49),Male Prevalence,Embu,0.016
ADULTS (15-49),Male Prevalence,Marsabit,0.008
ADULTS (15-49),Male Prevalence,Meru,0.014
ADULTS (15-49),Male Prevalence,Isiolo,0.019
ADULTS (15-49),Male Prevalence,Makueni,0.025
ADULTS (15-49),Male Prevalence,Kitui,0.027
ADULTS (15-49),Male Prevalence,Machakos,0.022
ADULTS (15-49),Male Prevalence,Tharaka Nithi,0.019
ADULTS (15-49),Male Prevalence,Nyeri,0.019
ADULTS (15-49),Male Prevalence,Nyandarua,0.019
ADULTS (15-49),Male Prevalence,Kiambu,0.021
ADULTS (15-49),Male Prevalence,Murang’a,0.022
ADULTS (15-49),Male Prevalence,Kirinyaga,0.017
ADULTS (15-49),Male Prevalence,West Pokot,0.013
ADULTS (15-49),Male Prevalence,Turkana,0.027
ADULTS (15-49),Male Prevalence,Trans Nzoia,0.037
ADULTS (15-49),Male Prevalence,Narok,0.023
ADULTS (15-49),Male Prevalence,Nandi,0.017
ADULTS (15-49),Male Prevalence,Nakuru,0.029
ADULTS (15-49),Male Prevalence,Elgeyo Marakwet,0.014
ADULTS (15-49),Male Prevalence,Laikipia,0.023
ADULTS (15-49),Male Prevalence,Kericho,0.024
ADULTS (15-49),Male Prevalence,Kajiado,0.033
ADULTS (15-49),Male Prevalence,Bomet,0.016
ADULTS (15-49),Male Prevalence,Baringo,0.011
ADULTS (15-49),Male Prevalence,Samburu,0.015
ADULTS (15-49),Male Prevalence,Uasin Gishu,0.033
ADULTS (15-49),Male Prevalence,Bungoma,0.024
ADULTS (15-49),Male Prevalence,Kakamega,0.034
ADULTS (15-49),Male Prevalence,Busia,0.057
ADULTS (15-49),Male Prevalence,Vihiga,0.04
ADULTS (15-49),Male Prevalence,Siaya,0.194
ADULTS (15-49),Male Prevalence,Kisii,0.04
ADULTS (15-49),Male Prevalence,Migori,0.122
ADULTS (15-49),Male Prevalence,Kisumu,0.15
ADULTS (15-49),Male Prevalence,Homa Bay,0.191
ADULTS (15-49),Male Prevalence,Nyamira,0.039
ADULTS (15-49),Female Prevalence,Kenya,0.052
ADULTS (15-49),Female Prevalence,Nairobi,0.075
ADULTS (15-49),Female Prevalence,Mombasa,0.059
ADULTS (15-49),Female Prevalence,Kwale,0.054
ADULTS (15-49),Female Prevalence,Kilifi,0.054
ADULTS (15-49),Female Prevalence,Lamu,0.043
ADULTS (15-49),Female Prevalence,Taita Taveta,0.058
ADULTS (15-49),Female Prevalence,Tana River,0.018
ADULTS (15-49),Female Prevalence,Garissa,0.014
ADULTS (15-49),Female Prevalence,Mandera,0.003
ADULTS (15-49),Female Prevalence,Wajir,0.002
ADULTS (15-49),Female Prevalence,Embu,0.038
ADULTS (15-49),Female Prevalence,Marsabit,0.018
ADULTS (15-49),Female Prevalence,Meru,0.033
ADULTS (15-49),Female Prevalence,Isiolo,0.043
ADULTS (15-49),Female Prevalence,Makueni,0.057
ADULTS (15-49),Female Prevalence,Kitui,0.061
ADULTS (15-49),Female Prevalence,Machakos,0.051
ADULTS (15-49),Female Prevalence,Tharaka Nithi,0.044
ADULTS (15-49),Female Prevalence,Nyeri,0.055
ADULTS (15-49),Female Prevalence,Nyandarua,0.052
ADULTS (15-49),Female Prevalence,Kiambu,0.059
ADULTS (15-49),Female Prevalence,Murang’a,0.062
ADULTS (15-49),Female Prevalence,Kirinyaga,0.046
ADULTS (15-49),Female Prevalence,West Pokot,0.022
ADULTS (15-49),Female Prevalence,Turkana,0.045
ADULTS (15-49),Female Prevalence,Trans Nzoia,0.061
ADULTS (15-49),Female Prevalence,Narok,0.039
ADULTS (15-49),Female Prevalence,Nandi,0.029
ADULTS (15-49),Female Prevalence,Nakuru,0.048
ADULTS (15-49),Female Prevalence,Elgeyo Marakwet,0.023
ADULTS (15-49),Female Prevalence,Laikipia,0.038
ADULTS (15-49),Female Prevalence,Kericho,0.041
ADULTS (15-49),Female Prevalence,Kajiado,0.055
ADULTS (15-49),Female Prevalence,Bomet,0.027
ADULTS (15-49),Female Prevalence,Baringo,0.019
ADULTS (15-49),Female Prevalence,Samburu,0.025
ADULTS (15-49),Female Prevalence,Uasin Gishu,0.055
ADULTS (15-49),Female Prevalence,Bungoma,0.039
ADULTS (15-49),Female Prevalence,Kakamega,0.056
ADULTS (15-49),Female Prevalence,Busia,0.094
ADULTS (15-49),Female Prevalence,Vihiga,0.067
ADULTS (15-49),Female Prevalence,Siaya,0.224
ADULTS (15-49),Female Prevalence,Kisii,0.047
ADULTS (15-49),Female Prevalence,Migori,0.142
ADULTS (15-49),Female Prevalence,Kisumu,0.174
ADULTS (15-49),Female Prevalence,Homa Bay,0.221
ADULTS (15-49),Female Prevalence,Nyamira,0.045
ADULTS (15-49),Incidence (per 1000),Kenya,1.8
ADULTS (15-49),Incidence (per 1000),Nairobi,2.2
ADULTS (15-49),Incidence (per 1000),Mombasa,1.9
ADULTS (15-49),Incidence (per 1000),Kwale,1.6
ADULTS (15-49),Incidence (per 1000),Kilifi,1.6
ADULTS (15-49),Incidence (per 1000),Lamu,1.3
